Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression,0.725,0.5641025641025641,0.36666666666666664,0.4444444444444444,0.7186904761904762
RandomForest,0.745,0.68,0.2833333333333333,0.4,0.7480357142857144
XGBoost,0.695,0.48936170212765956,0.38333333333333336,0.42990654205607476,0.7033333333333333
